EquipToolItemID,EquipmentToolID,Item #,Item Info
1001000001,1001000000,1, 1/2-Inch nut driver
1001000002,1001000000,2, 1/2-Inch nut driver
1001000003,1001000000,3, 1/2-Inch nut driver
1001000004,1001000000,4, 1/2-Inch nut driver
1001000005,1001000000,5, 1/2-Inch nut driver
1001000006,1001000000,6, 1/2-Inch nut driver
1001000007,1001000000,7, 1/2-Inch nut driver
1001000008,1001000000,8, 1/2-Inch nut driver
1001000009,1001000000,9, 1/2-Inch nut driver
1001000010,1001000000,10, 1/2-Inch nut driver
1001000011,1001000000,11, 1/2-Inch nut driver
1001000012,1001000000,12, 1/2-Inch nut driver
1001000013,1001000000,13, 1/2-Inch nut driver
1001000014,1001000000,14, 1/2-Inch nut driver
1001000015,1001000000,15, 1/2-Inch nut driver
1001000016,1001000000,16, 1/2-Inch nut driver
1002000017,1002000000,17,1/4-Inch nut driver
1002000018,1002000000,18,1/4-Inch nut driver
1002000019,1002000000,19,1/4-Inch nut driver
1002000020,1002000000,20,1/4-Inch nut driver
1002000021,1002000000,21,1/4-Inch nut driver
1002000022,1002000000,22,1/4-Inch nut driver
1002000023,1002000000,23,1/4-Inch nut driver
1002000024,1002000000,24,1/4-Inch nut driver
1002000025,1002000000,25,1/4-Inch nut driver
1002000026,1002000000,26,1/4-Inch nut driver
1002000027,1002000000,27,1/4-Inch nut driver
1002000028,1002000000,28,1/4-Inch nut driver
1002000029,1002000000,29,1/4-Inch nut driver
1002000030,1002000000,30,1/4-Inch nut driver
1002000031,1002000000,31,1/4-Inch nut driver
1002000032,1002000000,32,1/4-Inch nut driver
1002000033,1002000000,33,Nut Driver 1/4
1002000034,1002000000,34,Nut Driver 1/4
1002000035,1002000000,35,Nut Driver 1/4
1002000036,1002000000,36,Nut Driver 1/4
1002000037,1002000000,37,Nut Driver 1/4
1002000038,1002000000,38,Nut Driver 1/4
1002000039,1002000000,39,Nut Driver 1/4
1002000040,1002000000,40,Nut Driver 1/4
1002000041,1002000000,41,Nut Driver 1/4
1002000042,1002000000,42,Nut Driver 1/4
1002000043,1002000000,43,Nut Driver 1/4
1002000044,1002000000,44,Nut Driver 1/4
1002000045,1002000000,45,Nut Driver 1/4
1002000046,1002000000,46,Nut Driver 1/4
1002000047,1002000000,47,Nut Driver 1/4
1002000048,1002000000,48,Nut Driver 1/4
1002000049,1002000000,49,Nut Driver 1/4
1002000050,1002000000,50,Nut Driver 1/4
1002000051,1002000000,51,Nut Driver 1/4
1002000052,1002000000,52,Nut Driver 1/4
1002000053,1002000000,53,Nut Driver 1/4
1002000054,1002000000,54,Nut Driver 1/4
1002000055,1002000000,55,Nut Driver 1/4
1002000056,1002000000,56,Nut Driver 1/4
1002000057,1002000000,57,Nut Driver 1/4
1002000058,1002000000,58,Nut Driver 1/4
1002000059,1002000000,59,Nut Driver 1/4
1002000060,1002000000,60,Nut Driver 1/4
1002000061,1002000000,61,Nut Driver 1/4
1002000062,1002000000,62,Nut Driver 1/4
1002000063,1002000000,63,Nut Driver 1/4
1002000064,1002000000,64,Nut Driver 1/4
1002000065,1002000000,65,Nut Driver 1/4
1002000066,1002000000,66,Nut Driver 1/4
1002000067,1002000000,67,Nut Driver 1/4
1002000068,1002000000,68,Nut Driver 1/4
1002000069,1002000000,69,Nut Driver 1/4
1002000070,1002000000,70,Nut Driver 1/4
1002000071,1002000000,71,Nut Driver 1/4
1002000072,1002000000,72,Nut Driver 1/4
1002000073,1002000000,73,Nut Driver 1/4
1002000074,1002000000,74,Nut Driver 1/4
1002000075,1002000000,75,Nut Driver 1/4
1002000076,1002000000,76,Nut Driver 1/4
1002000077,1002000000,77,Nut Driver 1/4
1002000078,1002000000,78,Nut Driver 1/4
1002000079,1002000000,79,Nut Driver 1/4
1002000080,1002000000,80,Nut Driver 1/4
1002000081,1002000000,81,Nut Driver 1/4
1002000082,1002000000,82,Nut Driver 1/4
1003000083,1003000000,83,11/32-Inch nut driver
1003000084,1003000000,84,11/32-Inch nut driver
1003000085,1003000000,85,11/32-Inch nut driver
1003000086,1003000000,86,11/32-Inch nut driver
1003000087,1003000000,87,11/32-Inch nut driver
1003000088,1003000000,88,11/32-Inch nut driver
1003000089,1003000000,89,11/32-Inch nut driver
1003000090,1003000000,90,11/32-Inch nut driver
1003000091,1003000000,91,11/32-Inch nut driver
1003000092,1003000000,92,11/32-Inch nut driver
1003000093,1003000000,93,11/32-Inch nut driver
1003000094,1003000000,94,11/32-Inch nut driver
1003000095,1003000000,95,11/32-Inch nut driver
1003000096,1003000000,96,11/32-Inch nut driver
1003000097,1003000000,97,11/32-Inch nut driver
1003000098,1003000000,98,11/32-Inch nut driver
1003000099,1003000000,99,Nut Driver 11/32
1003000100,1003000000,100,Nut Driver 11/32
1003000101,1003000000,101,Nut Driver 11/32
1003000102,1003000000,102,Nut Driver 11/32
1003000103,1003000000,103,Nut Driver 11/32
1003000104,1003000000,104,Nut Driver 11/32
1003000105,1003000000,105,Nut Driver 11/32
1003000106,1003000000,106,Nut Driver 11/32
1003000107,1003000000,107,Nut Driver 11/32
1003000108,1003000000,108,Nut Driver 11/32
1003000109,1003000000,109,Nut Driver 11/32
1003000110,1003000000,110,Nut Driver 11/32
1003000111,1003000000,111,Nut Driver 11/32
1003000112,1003000000,112,Nut Driver 11/32
1003000113,1003000000,113,Nut Driver 11/32
1003000114,1003000000,114,Nut Driver 11/32
1003000115,1003000000,115,Nut Driver 11/32
1003000116,1003000000,116,Nut Driver 11/32
1003000117,1003000000,117,Nut Driver 11/32
1003000118,1003000000,118,Nut Driver 11/32
1003000119,1003000000,119,Nut Driver 11/32
1003000120,1003000000,120,Nut Driver 11/32
1003000121,1003000000,121,Nut Driver 11/32
1003000122,1003000000,122,Nut Driver 11/32
1003000123,1003000000,123,Nut Driver 11/32
1003000124,1003000000,124,Nut Driver 11/32
1003000125,1003000000,125,Nut Driver 11/32
1003000126,1003000000,126,Nut Driver 11/32
1003000127,1003000000,127,Nut Driver 11/32
1003000128,1003000000,128,Nut Driver 11/32
1003000129,1003000000,129,Nut Driver 11/32
1003000130,1003000000,130,Nut Driver 11/32
1003000131,1003000000,131,Nut Driver 11/32
1003000132,1003000000,132,Nut Driver 11/32
1003000133,1003000000,133,Nut Driver 11/32
1003000134,1003000000,134,Nut Driver 11/32
1003000135,1003000000,135,Nut Driver 11/32
1003000136,1003000000,136,Nut Driver 11/32
1003000137,1003000000,137,Nut Driver 11/32
1003000138,1003000000,138,Nut Driver 11/32
1003000139,1003000000,139,Nut Driver 11/32
1003000140,1003000000,140,Nut Driver 11/32
1003000141,1003000000,141,Nut Driver 11/32
1003000142,1003000000,142,Nut Driver 11/32
1003000143,1003000000,143,Nut Driver 11/32
1003000144,1003000000,144,Nut Driver 11/32
1003000145,1003000000,145,Nut Driver 11/32
1003000146,1003000000,146,Nut Driver 11/32
1003000147,1003000000,147,Nut Driver 11/32
1003000148,1003000000,148,Nut Driver 11/32
1004000149,1004000000,149,3/16-Inch nut driver
1004000150,1004000000,150,3/16-Inch nut driver
1004000151,1004000000,151,3/16-Inch nut driver
1004000152,1004000000,152,3/16-Inch nut driver
1004000153,1004000000,153,3/16-Inch nut driver
1004000154,1004000000,154,3/16-Inch nut driver
1004000155,1004000000,155,3/16-Inch nut driver
1004000156,1004000000,156,3/16-Inch nut driver
1004000157,1004000000,157,3/16-Inch nut driver
1004000158,1004000000,158,3/16-Inch nut driver
1004000159,1004000000,159,3/16-Inch nut driver
1004000160,1004000000,160,3/16-Inch nut driver
1004000161,1004000000,161,3/16-Inch nut driver
1004000162,1004000000,162,3/16-Inch nut driver
1004000163,1004000000,163,3/16-Inch nut driver
1004000164,1004000000,164,3/16-Inch nut driver
1004000165,1004000000,165,Nut Driver 3/16
1004000166,1004000000,166,Nut Driver 3/16
1004000167,1004000000,167,Nut Driver 3/16
1004000168,1004000000,168,Nut Driver 3/16
1004000169,1004000000,169,Nut Driver 3/16
1004000170,1004000000,170,Nut Driver 3/16
1004000171,1004000000,171,Nut Driver 3/16
1004000172,1004000000,172,Nut Driver 3/16
1004000173,1004000000,173,Nut Driver 3/16
1004000174,1004000000,174,Nut Driver 3/16
1004000175,1004000000,175,Nut Driver 3/16
1004000176,1004000000,176,Nut Driver 3/16
1004000177,1004000000,177,Nut Driver 3/16
1004000178,1004000000,178,Nut Driver 3/16
1004000179,1004000000,179,Nut Driver 3/16
1004000180,1004000000,180,Nut Driver 3/16
1004000181,1004000000,181,Nut Driver 3/16
1004000182,1004000000,182,Nut Driver 3/16
1004000183,1004000000,183,Nut Driver 3/16
1004000184,1004000000,184,Nut Driver 3/16
1004000185,1004000000,185,Nut Driver 3/16
1004000186,1004000000,186,Nut Driver 3/16
1004000187,1004000000,187,Nut Driver 3/16
1004000188,1004000000,188,Nut Driver 3/16
1004000189,1004000000,189,Nut Driver 3/16
1004000190,1004000000,190,Nut Driver 3/16
1004000191,1004000000,191,Nut Driver 3/16
1004000192,1004000000,192,Nut Driver 3/16
1004000193,1004000000,193,Nut Driver 3/16
1004000194,1004000000,194,Nut Driver 3/16
1004000195,1004000000,195,Nut Driver 3/16
1004000196,1004000000,196,Nut Driver 3/16
1004000197,1004000000,197,Nut Driver 3/16
1004000198,1004000000,198,Nut Driver 3/16
1004000199,1004000000,199,Nut Driver 3/16
1004000200,1004000000,200,Nut Driver 3/16
1004000201,1004000000,201,Nut Driver 3/16
1004000202,1004000000,202,Nut Driver 3/16
1004000203,1004000000,203,Nut Driver 3/16
1004000204,1004000000,204,Nut Driver 3/16
1004000205,1004000000,205,Nut Driver 3/16
1004000206,1004000000,206,Nut Driver 3/16
1004000207,1004000000,207,Nut Driver 3/16
1004000208,1004000000,208,Nut Driver 3/16
1004000209,1004000000,209,Nut Driver 3/16
1004000210,1004000000,210,Nut Driver 3/16
1004000211,1004000000,211,Nut Driver 3/16
1004000212,1004000000,212,Nut Driver 3/16
1004000213,1004000000,213,Nut Driver 3/16
1004000214,1004000000,214,Nut Driver 3/16
1005000215,1005000000,215,3/8-Inch nut driver
1005000216,1005000000,216,3/8-Inch nut driver
1005000217,1005000000,217,3/8-Inch nut driver
1005000218,1005000000,218,3/8-Inch nut driver
1005000219,1005000000,219,3/8-Inch nut driver
1005000220,1005000000,220,3/8-Inch nut driver
1005000221,1005000000,221,3/8-Inch nut driver
1005000222,1005000000,222,3/8-Inch nut driver
1005000223,1005000000,223,3/8-Inch nut driver
1005000224,1005000000,224,3/8-Inch nut driver
1005000225,1005000000,225,3/8-Inch nut driver
1005000226,1005000000,226,3/8-Inch nut driver
1005000227,1005000000,227,3/8-Inch nut driver
1005000228,1005000000,228,3/8-Inch nut driver
1005000229,1005000000,229,3/8-Inch nut driver
1005000230,1005000000,230,3/8-Inch nut driver
1005000231,1005000000,231,Nut Driver 3/8
1005000232,1005000000,232,Nut Driver 3/8
1005000233,1005000000,233,Nut Driver 3/8
1005000234,1005000000,234,Nut Driver 3/8
1005000235,1005000000,235,Nut Driver 3/8
1005000236,1005000000,236,Nut Driver 3/8
1005000237,1005000000,237,Nut Driver 3/8
1005000238,1005000000,238,Nut Driver 3/8
1005000239,1005000000,239,Nut Driver 3/8
1005000240,1005000000,240,Nut Driver 3/8
1005000241,1005000000,241,Nut Driver 3/8
1005000242,1005000000,242,Nut Driver 3/8
1005000243,1005000000,243,Nut Driver 3/8
1005000244,1005000000,244,Nut Driver 3/8
1005000245,1005000000,245,Nut Driver 3/8
1005000246,1005000000,246,Nut Driver 3/8
1005000247,1005000000,247,Nut Driver 3/8
1005000248,1005000000,248,Nut Driver 3/8
1005000249,1005000000,249,Nut Driver 3/8
1005000250,1005000000,250,Nut Driver 3/8
1005000251,1005000000,251,Nut Driver 3/8
1005000252,1005000000,252,Nut Driver 3/8
1005000253,1005000000,253,Nut Driver 3/8
1005000254,1005000000,254,Nut Driver 3/8
1005000255,1005000000,255,Nut Driver 3/8
1005000256,1005000000,256,Nut Driver 3/8
1005000257,1005000000,257,Nut Driver 3/8
1005000258,1005000000,258,Nut Driver 3/8
1005000259,1005000000,259,Nut Driver 3/8
1005000260,1005000000,260,Nut Driver 3/8
1005000261,1005000000,261,Nut Driver 3/8
1005000262,1005000000,262,Nut Driver 3/8
1005000263,1005000000,263,Nut Driver 3/8
1005000264,1005000000,264,Nut Driver 3/8
1005000265,1005000000,265,Nut Driver 3/8
1005000266,1005000000,266,Nut Driver 3/8
1005000267,1005000000,267,Nut Driver 3/8
1005000268,1005000000,268,Nut Driver 3/8
1005000269,1005000000,269,Nut Driver 3/8
1005000270,1005000000,270,Nut Driver 3/8
1005000271,1005000000,271,Nut Driver 3/8
1005000272,1005000000,272,Nut Driver 3/8
1005000273,1005000000,273,Nut Driver 3/8
1005000274,1005000000,274,Nut Driver 3/8
1005000275,1005000000,275,Nut Driver 3/8
1005000276,1005000000,276,Nut Driver 3/8
1005000277,1005000000,277,Nut Driver 3/8
1005000278,1005000000,278,Nut Driver 3/8
1005000279,1005000000,279,Nut Driver 3/8
1005000280,1005000000,280,Nut Driver 3/8
1006000281,1006000000,281,5/16-Inch nut driver
1006000282,1006000000,282,5/16-Inch nut driver
1006000283,1006000000,283,5/16-Inch nut driver
1006000284,1006000000,284,5/16-Inch nut driver
1006000285,1006000000,285,5/16-Inch nut driver
1006000286,1006000000,286,5/16-Inch nut driver
1006000287,1006000000,287,5/16-Inch nut driver
1006000288,1006000000,288,5/16-Inch nut driver
1006000289,1006000000,289,5/16-Inch nut driver
1006000290,1006000000,290,5/16-Inch nut driver
1006000291,1006000000,291,5/16-Inch nut driver
1006000292,1006000000,292,5/16-Inch nut driver
1006000293,1006000000,293,5/16-Inch nut driver
1006000294,1006000000,294,5/16-Inch nut driver
1006000295,1006000000,295,5/16-Inch nut driver
1006000296,1006000000,296,5/16-Inch nut driver
1006000297,1006000000,297,Nut Driver 5/16
1006000298,1006000000,298,Nut Driver 5/16
1006000299,1006000000,299,Nut Driver 5/16
1006000300,1006000000,300,Nut Driver 5/16
1006000301,1006000000,301,Nut Driver 5/16
1006000302,1006000000,302,Nut Driver 5/16
1006000303,1006000000,303,Nut Driver 5/16
1006000304,1006000000,304,Nut Driver 5/16
1006000305,1006000000,305,Nut Driver 5/16
1006000306,1006000000,306,Nut Driver 5/16
1006000307,1006000000,307,Nut Driver 5/16
1006000308,1006000000,308,Nut Driver 5/16
1006000309,1006000000,309,Nut Driver 5/16
1006000310,1006000000,310,Nut Driver 5/16
1006000311,1006000000,311,Nut Driver 5/16
1006000312,1006000000,312,Nut Driver 5/16
1006000313,1006000000,313,Nut Driver 5/16
1006000314,1006000000,314,Nut Driver 5/16
1006000315,1006000000,315,Nut Driver 5/16
1006000316,1006000000,316,Nut Driver 5/16
